ID,Tanggal,Pelabuhan,Cuaca,Shift Kerja,Permintaan Barang (Kontainer),ETA (jam),Ketersediaan Armada
405,2025-07-26,Tanjung Perak,Hujan Ringan,Malam,486,12.94,28
406,2025-07-17,Makassar,Badai,Siang,519,44.11,199
407,2025-07-20,Tanjung Priok,Berawan,Siang,227,17.36,117
408,2025-07-07,Makassar,Berawan,Siang,674,18.7,167
409,2025-06-10,Belawan,Berawan,Malam,424,40.35,91
410,2025-07-12,Tanjung Priok,Hujan Ringan,Pagi,459,19.05,117
411,2025-06-23,Bitung,Hujan Ringan,Malam,661,25.12,50
412,2025-06-04,Makassar,Hujan Ringan,Malam,757,34.94,85
413,2025-07-27,Tanjung Perak,Cerah,Siang,368,43.57,52
414,2025-06-18,Tanjung Perak,Cerah,Siang,946,47.28,146
415,2025-06-29,Tanjung Perak,Hujan Ringan,Pagi,621,18.6,14
416,2025-06-20,Makassar,Hujan Ringan,Malam,980,11.54,117
417,2025-07-04,Tanjung Perak,Cerah,Siang,677,47.23,86
418,2025-06-05,Tanjung Perak,Badai,Malam,439,23.14,161
419,2025-07-19,Bitung,Badai,Pagi,397,17.11,189
420,2025-07-08,Tanjung Perak,Berawan,Pagi,803,20.65,92
421,2025-06-04,Tanjung Priok,Badai,Malam,245,32.32,124
422,2025-06-20,Bitung,Berawan,Siang,225,22.9,72
423,2025-06-18,Belawan,Hujan Ringan,Pagi,440,15.8,145
424,2025-06-25,Bitung,Berawan,Malam,636,26.43,76
425,2025-07-26,Makassar,Hujan Deras,Siang,909,11.39,54
426,2025-07-28,Makassar,Badai,Siang,143,49.31,99
427,2025-06-10,Belawan,Badai,Siang,631,42.31,180
428,2025-07-08,Belawan,Hujan Deras,Malam,382,13.67,153
429,2025-07-08,Tanjung Perak,Cerah,Pagi,232,34.45,67
430,2025-07-08,Belawan,Hujan Deras,Pagi,275,15.6,43
431,2025-07-15,Tanjung Priok,Berawan,Malam,296,33.27,87
432,2025-07-21,Belawan,Hujan Deras,Siang,448,12.24,199
433,2025-06-22,Makassar,Hujan Deras,Malam,680,35.05,90
434,2025-07-26,Tanjung Perak,Hujan Ringan,Siang,425,42.87,60
435,2025-06-17,Bitung,Badai,Siang,589,41.34,66
436,2025-06-23,Tanjung Priok,Badai,Pagi,786,17.72,84
437,2025-07-10,Belawan,Hujan Ringan,Pagi,512,22.64,151
438,2025-06-17,Tanjung Perak,Cerah,Siang,821,34.91,111
439,2025-07-27,Bitung,Hujan Ringan,Malam,643,38.98,78
440,2025-06-06,Makassar,Badai,Siang,418,48.99,128
441,2025-07-15,Belawan,Cerah,Malam,650,10.37,42
442,2025-06-02,Makassar,Berawan,Pagi,139,13.53,35
443,2025-06-01,Belawan,Cerah,Pagi,968,12.3,96
444,2025-07-25,Tanjung Priok,Hujan Ringan,Malam,398,25.41,102
445,2025-06-22,Tanjung Perak,Hujan Deras,Malam,752,46.26,60
446,2025-07-29,Tanjung Priok,Hujan Ringan,Pagi,322,31.13,73
447,2025-06-01,Makassar,Badai,Malam,881,18.36,58
448,2025-06-05,Tanjung Priok,Hujan Ringan,Malam,229,44.28,139
449,2025-06-30,Bitung,Badai,Malam,853,44.95,27
450,2025-07-09,Tanjung Priok,Hujan Ringan,Pagi,479,32.89,182
451,2025-06-30,Tanjung Priok,Berawan,Malam,763,34.46,148
452,2025-06-15,Makassar,Cerah,Siang,158,27.74,21
453,2025-06-19,Belawan,Cerah,Pagi,778,16.77,177
454,2025-06-03,Belawan,Berawan,Pagi,977,15.46,69
455,2025-06-08,Makassar,Hujan Deras,Malam,202,17.89,130
456,2025-07-19,Belawan,Berawan,Pagi,617,31.41,140
457,2025-07-25,Bitung,Cerah,Malam,904,27.56,140
458,2025-07-06,Tanjung Perak,Hujan Deras,Pagi,855,46.55,75
459,2025-06-01,Belawan,Cerah,Pagi,431,26.86,66
460,2025-06-20,Tanjung Perak,Cerah,Siang,940,49.15,135
461,2025-06-17,Tanjung Perak,Berawan,Malam,373,30.15,186
462,2025-06-23,Makassar,Cerah,Pagi,397,20.54,134
463,2025-06-08,Makassar,Hujan Ringan,Pagi,364,26.59,96
464,2025-07-22,Tanjung Perak,Cerah,Malam,517,10.97,110
465,2025-06-26,Belawan,Hujan Deras,Siang,436,47.43,58
466,2025-06-18,Bitung,Hujan Deras,Pagi,595,18.21,155
467,2025-06-07,Tanjung Priok,Cerah,Malam,461,27.13,81
468,2025-06-10,Belawan,Badai,Siang,373,24.69,64
469,2025-06-27,Belawan,Badai,Siang,942,17.37,89
470,2025-07-17,Tanjung Perak,Hujan Deras,Malam,733,31.41,74
471,2025-06-05,Belawan,Berawan,Siang,246,35.66,191
472,2025-06-25,Belawan,Hujan Deras,Pagi,758,45.91,92
473,2025-07-15,Tanjung Priok,Cerah,Malam,334,12.65,107
474,2025-07-29,Tanjung Perak,Hujan Ringan,Pagi,962,34.17,75
475,2025-06-17,Belawan,Berawan,Siang,775,39.33,20
476,2025-06-28,Belawan,Cerah,Pagi,487,36.71,66
477,2025-06-09,Tanjung Priok,Hujan Ringan,Pagi,769,26.41,121
478,2025-06-09,Belawan,Hujan Ringan,Siang,804,23.18,146
479,2025-07-09,Belawan,Berawan,Siang,316,33.76,75
480,2025-07-22,Belawan,Cerah,Siang,972,17.33,140
481,2025-06-16,Makassar,Badai,Pagi,253,26.9,102
482,2025-06-08,Tanjung Perak,Cerah,Pagi,167,31.26,168
483,2025-07-12,Makassar,Berawan,Pagi,731,29.26,37
484,2025-06-30,Belawan,Hujan Ringan,Pagi,411,18.85,162
485,2025-06-28,Belawan,Badai,Pagi,769,27.3,180
486,2025-06-13,Tanjung Priok,Hujan Ringan,Siang,710,15.61,17
487,2025-07-05,Tanjung Perak,Hujan Ringan,Siang,450,23.01,93
488,2025-06-07,Tanjung Priok,Hujan Deras,Pagi,275,37.31,43
489,2025-06-09,Tanjung Priok,Berawan,Pagi,459,42.68,83
490,2025-06-01,Tanjung Perak,Hujan Ringan,Malam,813,23.83,184
491,2025-06-13,Belawan,Berawan,Siang,636,41.86,173
492,2025-07-02,Makassar,Hujan Ringan,Siang,354,28.27,45
493,2025-06-30,Belawan,Cerah,Siang,651,17.36,164
494,2025-07-01,Tanjung Priok,Berawan,Pagi,734,48.78,90
495,2025-06-23,Tanjung Priok,Cerah,Malam,792,44.11,117
496,2025-07-16,Belawan,Hujan Ringan,Siang,137,16.67,123
497,2025-06-06,Tanjung Priok,Berawan,Malam,922,19.03,130
498,2025-06-27,Makassar,Cerah,Malam,730,27.54,123
499,2025-06-18,Makassar,Cerah,Siang,842,33.26,114
500,2025-06-01,Makassar,Badai,Malam,401,23.37,143
501,2025-07-22,Bitung,Cerah,Pagi,469,37.85,193
502,2025-06-10,Bitung,Cerah,Pagi,625,44.45,133
503,2025-07-17,Belawan,Hujan Deras,Siang,188,13.21,91
504,2025-07-14,Makassar,Berawan,Malam,249,21.1,193
505,2025-06-23,Belawan,Cerah,Pagi,450,27.19,68
506,2025-06-19,Makassar,Hujan Ringan,Malam,382,41.51,102
507,2025-07-26,Tanjung Perak,Badai,Siang,938,39.42,156
508,2025-06-25,Tanjung Priok,Cerah,Siang,679,38.58,82
509,2025-07-11,Tanjung Priok,Badai,Malam,459,46.0,38
510,2025-07-01,Tanjung Priok,Berawan,Pagi,151,41.58,102
511,2025-06-05,Makassar,Hujan Deras,Pagi,648,24.24,144
512,2025-06-13,Belawan,Badai,Siang,971,39.0,136
513,2025-07-29,Belawan,Hujan Deras,Siang,252,47.33,32
514,2025-06-05,Tanjung Perak,Berawan,Siang,940,16.12,193
515,2025-06-05,Tanjung Priok,Berawan,Malam,571,24.0,77
516,2025-06-17,Tanjung Perak,Berawan,Pagi,702,46.14,110
517,2025-07-07,Belawan,Berawan,Siang,184,31.28,38
518,2025-07-28,Tanjung Perak,Hujan Ringan,Malam,837,35.98,55
519,2025-06-10,Tanjung Perak,Hujan Deras,Malam,638,43.08,45
520,2025-06-20,Makassar,Badai,Pagi,391,29.18,52
521,2025-06-30,Makassar,Berawan,Pagi,232,39.99,141
522,2025-07-13,Tanjung Perak,Cerah,Pagi,742,40.14,144
523,2025-07-12,Belawan,Hujan Deras,Pagi,438,32.26,56
524,2025-07-20,Tanjung Priok,Cerah,Malam,802,14.9,191
525,2025-06-29,Makassar,Badai,Malam,120,16.89,62
526,2025-06-12,Belawan,Badai,Pagi,474,30.17,181
527,2025-07-05,Tanjung Priok,Hujan Deras,Malam,682,29.1,117
528,2025-07-06,Belawan,Hujan Deras,Pagi,605,37.11,91
529,2025-06-05,Bitung,Hujan Deras,Pagi,710,29.13,111
530,2025-07-22,Makassar,Berawan,Pagi,205,12.21,176
531,2025-07-22,Belawan,Hujan Ringan,Siang,875,16.96,52
532,2025-07-01,Belawan,Hujan Ringan,Siang,919,39.42,133
533,2025-07-17,Makassar,Hujan Deras,Pagi,181,13.27,185
534,2025-06-02,Belawan,Hujan Ringan,Siang,262,48.24,122
535,2025-06-03,Makassar,Hujan Deras,Siang,242,16.42,24
536,2025-06-24,Bitung,Hujan Ringan,Pagi,802,28.46,107
537,2025-06-07,Belawan,Cerah,Pagi,218,44.65,47
538,2025-06-13,Tanjung Perak,Hujan Ringan,Pagi,160,12.85,184
539,2025-06-03,Tanjung Priok,Hujan Deras,Malam,250,25.99,147
540,2025-06-17,Makassar,Berawan,Malam,403,12.68,170
541,2025-07-14,Makassar,Cerah,Malam,746,43.15,17
542,2025-07-29,Bitung,Hujan Ringan,Malam,601,46.34,24
543,2025-06-22,Bitung,Hujan Deras,Siang,294,14.35,53
544,2025-07-06,Belawan,Berawan,Malam,330,26.88,168
545,2025-07-19,Tanjung Perak,Hujan Deras,Malam,174,23.16,65
546,2025-07-29,Belawan,Hujan Deras,Siang,688,45.22,140
547,2025-07-28,Bitung,Hujan Deras,Siang,859,28.71,62
548,2025-07-12,Makassar,Cerah,Malam,845,36.75,10
549,2025-06-21,Tanjung Priok,Hujan Ringan,Malam,819,24.65,155
550,2025-06-03,Tanjung Priok,Badai,Siang,503,18.66,62
551,2025-06-29,Belawan,Berawan,Pagi,174,39.23,92
552,2025-07-17,Tanjung Priok,Badai,Malam,385,29.44,37
553,2025-07-05,Bitung,Berawan,Pagi,539,18.45,63
554,2025-07-08,Belawan,Berawan,Malam,760,35.32,52
555,2025-06-19,Tanjung Perak,Hujan Deras,Pagi,881,39.95,179
556,2025-06-11,Tanjung Perak,Berawan,Siang,368,49.6,37
557,2025-07-28,Bitung,Cerah,Pagi,807,44.85,27
558,2025-07-01,Makassar,Cerah,Malam,231,36.08,51
559,2025-06-24,Tanjung Priok,Hujan Deras,Siang,308,47.48,10
560,2025-07-11,Bitung,Badai,Pagi,655,31.74,132
561,2025-07-17,Belawan,Badai,Siang,539,33.77,34
562,2025-07-04,Tanjung Priok,Berawan,Siang,963,25.84,162
563,2025-06-22,Makassar,Berawan,Pagi,480,18.15,26
564,2025-06-12,Tanjung Perak,Hujan Deras,Malam,721,24.39,119
565,2025-07-07,Makassar,Hujan Ringan,Siang,374,37.29,112
566,2025-07-27,Tanjung Perak,Hujan Deras,Malam,386,31.07,113
567,2025-06-30,Makassar,Badai,Siang,581,46.25,144
568,2025-06-04,Belawan,Berawan,Pagi,477,20.68,98
569,2025-06-04,Makassar,Hujan Deras,Siang,806,18.61,166
570,2025-06-07,Tanjung Priok,Hujan Deras,Siang,519,13.37,109
571,2025-07-01,Tanjung Priok,Badai,Pagi,732,32.53,78
572,2025-06-08,Tanjung Perak,Hujan Ringan,Pagi,183,24.55,54
573,2025-06-11,Belawan,Badai,Siang,347,46.83,112
574,2025-06-15,Tanjung Priok,Hujan Deras,Pagi,220,36.13,18
575,2025-07-13,Bitung,Badai,Pagi,235,11.37,150
576,2025-07-09,Makassar,Hujan Ringan,Siang,480,45.17,162
577,2025-06-24,Belawan,Hujan Deras,Siang,803,28.45,95
578,2025-06-16,Tanjung Priok,Hujan Deras,Pagi,870,20.37,146
579,2025-07-30,Makassar,Badai,Siang,978,12.37,106
580,2025-07-27,Makassar,Berawan,Siang,870,10.88,40
581,2025-06-04,Tanjung Perak,Badai,Pagi,987,10.89,200
582,2025-06-16,Tanjung Priok,Hujan Deras,Siang,544,41.24,145
583,2025-07-21,Tanjung Perak,Hujan Deras,Malam,113,25.45,180
584,2025-06-03,Makassar,Hujan Deras,Siang,468,13.4,30
585,2025-07-05,Bitung,Hujan Ringan,Pagi,473,12.8,38
586,2025-07-04,Tanjung Priok,Hujan Ringan,Malam,533,21.75,64
587,2025-06-29,Makassar,Hujan Ringan,Siang,534,20.61,127
588,2025-06-30,Bitung,Badai,Pagi,489,43.03,144
589,2025-06-03,Bitung,Hujan Deras,Siang,423,31.48,95
590,2025-06-26,Tanjung Priok,Hujan Ringan,Malam,261,38.14,114
591,2025-06-24,Tanjung Priok,Hujan Ringan,Siang,121,43.71,115
592,2025-06-21,Belawan,Berawan,Pagi,886,22.31,121
593,2025-06-22,Bitung,Badai,Pagi,235,11.71,198
594,2025-07-19,Tanjung Perak,Berawan,Pagi,343,40.21,89
595,2025-06-22,Belawan,Badai,Pagi,672,41.62,159
596,2025-07-19,Tanjung Priok,Berawan,Malam,112,34.05,136
597,2025-07-27,Makassar,Hujan Deras,Siang,623,17.26,99
598,2025-06-13,Tanjung Priok,Hujan Deras,Pagi,339,42.18,15
599,2025-07-22,Makassar,Hujan Deras,Siang,901,24.15,180
600,2025-07-13,Makassar,Hujan Ringan,Malam,134,20.08,190
601,2025-07-08,Belawan,Cerah,Pagi,778,22.5,74
602,2025-07-26,Belawan,Cerah,Pagi,830,40.85,34
603,2025-07-18,Tanjung Priok,Badai,Siang,999,25.69,93
604,2025-07-21,Makassar,Hujan Ringan,Siang,589,15.22,10
605,2025-07-13,Makassar,Berawan,Siang,920,40.58,170
606,2025-07-16,Bitung,Cerah,Siang,309,33.25,22
607,2025-06-30,Tanjung Priok,Berawan,Malam,433,43.51,46
608,2025-06-02,Tanjung Perak,Hujan Deras,Siang,879,15.37,172
609,2025-07-05,Tanjung Priok,Berawan,Pagi,527,13.74,195
610,2025-06-08,Makassar,Hujan Deras,Siang,575,42.1,98
611,2025-07-19,Tanjung Perak,Hujan Deras,Malam,754,32.45,102
612,2025-06-24,Bitung,Cerah,Siang,439,45.71,168
613,2025-06-28,Makassar,Hujan Ringan,Siang,659,36.71,142
614,2025-06-21,Tanjung Priok,Hujan Deras,Pagi,318,49.22,65
615,2025-06-11,Tanjung Priok,Cerah,Malam,635,47.88,134
616,2025-07-22,Tanjung Priok,Hujan Deras,Pagi,389,17.63,196
617,2025-06-29,Tanjung Priok,Hujan Ringan,Malam,916,12.02,156
618,2025-07-29,Bitung,Hujan Deras,Pagi,583,49.55,10
619,2025-07-01,Tanjung Priok,Hujan Deras,Pagi,946,47.03,140
620,2025-06-16,Belawan,Badai,Malam,865,44.17,80
621,2025-07-12,Bitung,Hujan Ringan,Malam,941,46.38,69
622,2025-07-24,Tanjung Perak,Hujan Deras,Siang,584,13.16,113
623,2025-07-17,Belawan,Badai,Malam,795,40.34,100
624,2025-07-27,Bitung,Cerah,Malam,348,35.63,117
625,2025-07-04,Tanjung Perak,Berawan,Siang,958,13.83,181
626,2025-07-29,Makassar,Cerah,Pagi,851,24.35,52
627,2025-06-08,Tanjung Perak,Hujan Deras,Pagi,672,35.33,139
628,2025-06-01,Makassar,Cerah,Pagi,581,13.94,17
629,2025-06-10,Makassar,Hujan Deras,Malam,415,26.69,30
630,2025-06-25,Bitung,Hujan Ringan,Pagi,865,21.56,159
631,2025-06-11,Tanjung Perak,Hujan Ringan,Malam,207,31.57,155
632,2025-07-21,Belawan,Badai,Siang,176,18.07,113
633,2025-06-06,Bitung,Hujan Ringan,Siang,403,42.16,157
634,2025-06-03,Bitung,Cerah,Pagi,187,48.49,31
635,2025-06-16,Tanjung Perak,Berawan,Pagi,400,36.54,31
636,2025-07-29,Tanjung Priok,Badai,Pagi,615,20.22,141
637,2025-07-02,Tanjung Perak,Berawan,Pagi,857,31.08,30
638,2025-07-16,Belawan,Hujan Deras,Pagi,436,25.98,86
639,2025-07-14,Tanjung Priok,Hujan Deras,Pagi,703,33.79,40
640,2025-07-05,Tanjung Perak,Badai,Siang,746,38.04,158
641,2025-07-20,Belawan,Hujan Deras,Pagi,598,11.63,182
642,2025-07-30,Tanjung Perak,Cerah,Malam,593,40.14,143
643,2025-06-29,Makassar,Hujan Ringan,Siang,889,37.23,173
644,2025-07-10,Tanjung Perak,Badai,Siang,596,21.77,178
645,2025-06-17,Tanjung Priok,Berawan,Malam,864,27.15,178
646,2025-07-21,Tanjung Perak,Berawan,Siang,341,28.47,79
647,2025-06-27,Tanjung Priok,Cerah,Pagi,478,11.67,179
648,2025-07-16,Belawan,Hujan Ringan,Siang,201,36.51,80
649,2025-06-02,Belawan,Hujan Ringan,Pagi,132,21.93,124
650,2025-07-18,Tanjung Perak,Hujan Ringan,Siang,780,11.6,96
651,2025-07-21,Makassar,Berawan,Pagi,799,49.03,100
652,2025-07-02,Tanjung Priok,Cerah,Malam,310,11.37,113
653,2025-07-04,Tanjung Priok,Cerah,Pagi,423,39.38,172
654,2025-07-28,Bitung,Cerah,Malam,544,35.04,125
655,2025-07-03,Tanjung Perak,Hujan Ringan,Siang,562,39.88,17
656,2025-06-06,Makassar,Cerah,Pagi,707,43.76,105
657,2025-06-13,Bitung,Badai,Siang,658,24.55,189
658,2025-06-04,Belawan,Berawan,Malam,989,21.48,20
659,2025-06-22,Belawan,Cerah,Malam,884,28.74,147
660,2025-06-24,Bitung,Badai,Pagi,702,37.68,85
661,2025-07-12,Bitung,Hujan Deras,Siang,555,30.76,99
662,2025-07-28,Bitung,Hujan Deras,Siang,885,44.58,86
663,2025-07-19,Bitung,Cerah,Malam,958,15.69,101
664,2025-06-24,Tanjung Priok,Berawan,Pagi,762,37.28,191
665,2025-07-22,Tanjung Perak,Hujan Ringan,Pagi,919,11.85,33
666,2025-07-13,Belawan,Berawan,Malam,737,48.86,72
667,2025-06-11,Tanjung Priok,Hujan Deras,Siang,740,13.19,114
668,2025-07-02,Bitung,Badai,Malam,860,38.26,93
669,2025-07-19,Tanjung Perak,Hujan Ringan,Pagi,980,36.14,169
670,2025-06-04,Makassar,Badai,Malam,829,43.54,107
671,2025-06-28,Tanjung Priok,Hujan Ringan,Malam,172,29.18,157
672,2025-06-17,Bitung,Berawan,Malam,260,36.02,119
673,2025-07-01,Belawan,Badai,Malam,814,16.66,156
674,2025-06-11,Belawan,Badai,Pagi,497,19.43,195
675,2025-07-16,Tanjung Perak,Badai,Pagi,790,28.03,178
676,2025-06-06,Bitung,Cerah,Malam,932,24.06,74
677,2025-06-19,Tanjung Perak,Hujan Ringan,Siang,258,49.34,21
678,2025-07-22,Makassar,Badai,Siang,718,31.44,20
679,2025-07-24,Belawan,Badai,Pagi,883,14.69,134
680,2025-06-08,Makassar,Berawan,Siang,871,21.36,110
681,2025-06-18,Makassar,Berawan,Pagi,636,37.73,52
682,2025-07-02,Makassar,Cerah,Siang,386,16.96,84
683,2025-07-24,Makassar,Hujan Ringan,Malam,858,31.89,94
684,2025-06-09,Tanjung Perak,Hujan Ringan,Pagi,600,29.13,28
685,2025-07-07,Belawan,Badai,Siang,372,46.13,192
686,2025-06-21,Tanjung Priok,Cerah,Pagi,988,31.83,75
687,2025-07-09,Makassar,Hujan Ringan,Malam,358,15.09,117
688,2025-06-22,Tanjung Perak,Berawan,Pagi,433,46.27,177
689,2025-07-13,Tanjung Perak,Hujan Ringan,Siang,755,34.18,120
690,2025-07-22,Tanjung Perak,Cerah,Malam,918,28.8,88
691,2025-06-10,Tanjung Priok,Hujan Ringan,Siang,764,17.5,116
692,2025-07-18,Bitung,Hujan Ringan,Pagi,262,29.41,143
693,2025-07-13,Bitung,Badai,Siang,676,10.5,182
694,2025-06-22,Makassar,Hujan Deras,Siang,999,25.53,150
695,2025-06-11,Tanjung Perak,Hujan Ringan,Pagi,474,22.04,58
696,2025-06-28,Bitung,Badai,Malam,845,15.06,41
697,2025-06-08,Bitung,Berawan,Malam,724,13.39,147
698,2025-07-11,Bitung,Hujan Deras,Pagi,819,36.85,184
699,2025-07-20,Tanjung Perak,Badai,Malam,200,31.57,35
700,2025-07-03,Tanjung Priok,Hujan Ringan,Siang,614,16.19,192
701,2025-06-09,Bitung,Badai,Malam,253,40.97,40
702,2025-06-14,Tanjung Perak,Berawan,Malam,899,29.1,141
703,2025-06-09,Tanjung Priok,Cerah,Malam,820,26.87,50
704,2025-07-06,Makassar,Cerah,Siang,713,14.11,182
705,2025-07-12,Tanjung Perak,Cerah,Pagi,528,26.34,60
706,2025-07-27,Belawan,Hujan Ringan,Pagi,810,49.7,42
707,2025-07-29,Tanjung Priok,Hujan Deras,Siang,459,48.1,81
708,2025-06-13,Tanjung Priok,Hujan Ringan,Malam,113,20.49,80
709,2025-07-17,Bitung,Hujan Ringan,Malam,644,40.63,151
710,2025-07-15,Tanjung Perak,Cerah,Pagi,543,17.48,75
711,2025-06-24,Belawan,Cerah,Malam,669,19.49,22
712,2025-06-29,Bitung,Hujan Ringan,Malam,683,47.68,117
713,2025-06-29,Tanjung Priok,Hujan Ringan,Siang,347,20.45,140
714,2025-07-29,Tanjung Priok,Cerah,Siang,476,22.75,49
715,2025-06-21,Tanjung Perak,Badai,Pagi,317,40.16,153
716,2025-06-29,Bitung,Hujan Ringan,Malam,452,13.23,104
717,2025-06-07,Bitung,Hujan Deras,Siang,301,28.88,176
718,2025-06-17,Tanjung Perak,Berawan,Siang,587,48.81,122
719,2025-06-19,Tanjung Priok,Hujan Ringan,Malam,908,35.8,95
720,2025-06-11,Belawan,Hujan Ringan,Siang,445,22.1,169
721,2025-06-05,Tanjung Priok,Hujan Ringan,Siang,499,40.04,167
722,2025-06-20,Bitung,Hujan Deras,Pagi,138,33.11,105
723,2025-07-06,Belawan,Berawan,Pagi,903,44.91,194
724,2025-06-20,Bitung,Badai,Malam,598,22.76,81
725,2025-06-08,Makassar,Badai,Pagi,260,16.17,159
726,2025-06-26,Belawan,Badai,Malam,884,10.01,104
727,2025-06-04,Bitung,Cerah,Malam,965,24.62,55
728,2025-07-24,Tanjung Priok,Cerah,Siang,465,21.05,193
729,2025-07-08,Tanjung Priok,Hujan Deras,Siang,737,31.56,64
730,2025-07-27,Makassar,Badai,Malam,651,20.96,60
731,2025-06-21,Makassar,Hujan Deras,Malam,808,24.44,135
732,2025-07-07,Belawan,Cerah,Pagi,752,37.19,187
733,2025-07-23,Tanjung Perak,Cerah,Siang,801,25.89,20
734,2025-07-24,Bitung,Hujan Ringan,Malam,509,43.36,55
735,2025-06-06,Belawan,Berawan,Siang,203,32.39,113
736,2025-06-08,Makassar,Berawan,Pagi,347,15.53,56
737,2025-06-17,Tanjung Perak,Badai,Pagi,309,23.27,18
738,2025-07-25,Belawan,Hujan Deras,Malam,392,15.45,194
739,2025-06-06,Tanjung Perak,Cerah,Siang,622,28.95,122
740,2025-07-25,Bitung,Hujan Deras,Siang,376,21.86,86
741,2025-07-12,Tanjung Perak,Cerah,Malam,146,19.78,19
742,2025-06-25,Makassar,Cerah,Pagi,244,28.16,129
743,2025-06-02,Tanjung Perak,Badai,Siang,642,21.78,107
744,2025-07-13,Tanjung Perak,Badai,Siang,326,32.27,99
745,2025-06-15,Belawan,Berawan,Pagi,887,20.08,139
746,2025-06-11,Bitung,Hujan Deras,Pagi,833,46.81,25
747,2025-07-18,Belawan,Hujan Deras,Siang,559,15.38,54
748,2025-07-20,Tanjung Priok,Berawan,Pagi,146,46.47,183
749,2025-06-18,Tanjung Priok,Berawan,Malam,102,19.64,88
750,2025-06-07,Tanjung Priok,Hujan Deras,Pagi,190,22.35,20
751,2025-06-23,Tanjung Priok,Badai,Siang,328,24.2,81
752,2025-06-26,Tanjung Perak,Badai,Pagi,427,47.6,138
753,2025-07-11,Tanjung Priok,Hujan Deras,Pagi,120,38.54,62
754,2025-07-09,Tanjung Perak,Cerah,Pagi,810,42.31,53
755,2025-06-17,Bitung,Hujan Deras,Malam,682,31.8,41
756,2025-07-13,Belawan,Hujan Deras,Pagi,829,18.31,87
757,2025-06-21,Tanjung Priok,Hujan Ringan,Siang,899,45.75,69
758,2025-06-30,Tanjung Priok,Berawan,Siang,100,40.44,40
759,2025-06-06,Bitung,Berawan,Siang,618,44.52,53
760,2025-06-13,Tanjung Priok,Hujan Deras,Pagi,587,12.76,145
761,2025-07-25,Tanjung Priok,Badai,Pagi,466,16.3,10
762,2025-07-16,Makassar,Cerah,Pagi,927,11.77,57
763,2025-06-06,Makassar,Badai,Siang,548,13.0,175
764,2025-07-02,Belawan,Cerah,Siang,769,13.51,32
765,2025-07-15,Tanjung Priok,Cerah,Pagi,971,37.78,37
766,2025-06-05,Belawan,Berawan,Siang,522,46.9,57
767,2025-06-24,Belawan,Cerah,Malam,674,22.3,85
768,2025-07-28,Makassar,Hujan Deras,Siang,444,29.05,78
769,2025-07-06,Belawan,Hujan Ringan,Pagi,866,20.39,64
770,2025-07-08,Tanjung Priok,Berawan,Malam,676,36.11,135
771,2025-06-07,Bitung,Hujan Ringan,Siang,965,22.11,161
772,2025-06-25,Tanjung Priok,Berawan,Pagi,388,28.81,184
773,2025-06-08,Tanjung Priok,Cerah,Pagi,154,39.06,28
774,2025-07-06,Belawan,Hujan Ringan,Pagi,684,38.1,10
775,2025-07-18,Makassar,Berawan,Siang,504,13.38,156
776,2025-06-06,Tanjung Priok,Badai,Pagi,732,42.34,73
777,2025-07-17,Makassar,Badai,Siang,693,13.25,105
778,2025-06-08,Bitung,Berawan,Malam,621,10.59,189
779,2025-07-24,Tanjung Perak,Cerah,Pagi,108,38.21,21
780,2025-06-09,Makassar,Hujan Ringan,Siang,554,33.48,32
781,2025-07-16,Makassar,Berawan,Pagi,186,47.47,185
782,2025-07-13,Belawan,Berawan,Siang,849,34.41,145
783,2025-07-28,Makassar,Berawan,Malam,660,17.26,70
784,2025-06-18,Belawan,Hujan Deras,Siang,286,48.96,178
785,2025-06-13,Bitung,Hujan Deras,Pagi,233,45.43,126
786,2025-06-04,Belawan,Berawan,Pagi,785,34.45,194
787,2025-07-15,Bitung,Cerah,Malam,310,14.71,158
788,2025-07-22,Belawan,Hujan Deras,Siang,797,36.9,85
789,2025-07-11,Bitung,Hujan Deras,Siang,476,11.94,29
790,2025-07-27,Tanjung Perak,Berawan,Siang,315,25.46,30
791,2025-07-19,Bitung,Hujan Deras,Malam,240,45.63,165
792,2025-06-28,Bitung,Badai,Siang,801,48.8,105
793,2025-07-03,Tanjung Perak,Hujan Ringan,Siang,185,43.01,58
794,2025-06-22,Tanjung Perak,Cerah,Pagi,937,31.46,33
795,2025-07-27,Tanjung Perak,Badai,Pagi,365,36.84,168
796,2025-07-03,Tanjung Perak,Badai,Malam,836,20.49,62
797,2025-07-21,Tanjung Perak,Hujan Ringan,Malam,760,20.01,179
798,2025-07-03,Tanjung Perak,Berawan,Pagi,188,27.81,113
799,2025-06-29,Bitung,Hujan Ringan,Malam,407,19.78,47
800,2025-06-29,Tanjung Perak,Hujan Deras,Pagi,398,41.11,35
801,2025-06-06,Tanjung Priok,Cerah,Pagi,855,39.16,161
802,2025-07-08,Makassar,Hujan Deras,Siang,340,18.39,66
803,2025-06-01,Makassar,Badai,Pagi,457,44.05,106
804,2025-07-20,Belawan,Cerah,Siang,346,45.01,10
805,2025-06-22,Tanjung Priok,Cerah,Siang,610,23.37,188
806,2025-06-27,Makassar,Hujan Deras,Malam,352,30.22,73
807,2025-06-19,Tanjung Priok,Cerah,Siang,283,47.36,88
808,2025-06-09,Tanjung Perak,Cerah,Malam,413,37.73,119
809,2025-07-21,Tanjung Perak,Berawan,Pagi,852,48.89,107
